Time,Load Cell,Moving Forward
2863292.0,-0.01625244,0.0
2863370.0,0.01300426,0.0
2863448.0,-0.00548433,0.0
2863526.0,0.00056001,0.0
2863604.0,0.00233783,0.0
2863683.0,-0.01406838,0.0
2863761.0,-0.00467168,0.0
2863839.0,0.02097863,0.0
2863917.0,0.00091558,0.0
2863995.0,0.00635039,0.0
2864073.0,-0.00147176,0.0
2864151.0,0.00914398,0.0
2864229.0,-0.00919232,0.0
2864307.0,0.00843278,0.0
2864386.0,-0.00843036,0.0
2864464.0,-0.00258922,0.0
2864542.0,0.00868682,0.0
2864620.0,0.00482662,0.0
2864698.0,-0.00324958,0.0
2864776.0,0.0084837,0.0
2864854.0,0.00436938,0.0
2864932.0,-0.02062065,0.0
2865011.0,-0.01411914,0.0
2865089.0,0.0010171,0.0
2865167.0,0.01356295,0.0
2865245.0,0.00553774,0.0
2865323.0,0.01366455,0.0
2865401.0,-0.00614462,0.0
2865479.0,-0.01386518,0.0
2865557.0,0.00198219,0.0
2865635.0,0.02900392,0.0
2865714.0,-0.01173195,0.0
2865792.0,-0.0104113,0.0
2865870.0,-0.01198584,0.0
2865948.0,1.25e-06,0.0
2866026.0,-0.00279234,0.0
2866104.0,0.00619803,0.0
2866182.0,-0.01701433,0.0
2866260.0,-0.01437318,0.0
2866338.0,-0.02402376,0.0
2866417.0,-0.00015111,0.0
2866495.0,0.00360757,0.0
2866573.0,-0.01483019,0.0
2866651.0,-0.00512892,0.0
2866729.0,-0.00238594,0.0
2866807.0,-0.01579535,0.0
2866885.0,-0.01366198,0.0
2866963.0,0.01686454,0.0
2867041.0,0.00736624,0.0
2867120.0,-0.01406838,0.0
2867198.0,-0.0125446,0.0
2867276.0,-0.00228434,0.0
2867354.0,-0.00462084,0.0
2867432.0,-0.00172565,0.0
2867510.0,0.01122645,0.0
2867588.0,0.00040757,0.0
2867666.0,0.00792501,0.0
2867745.0,-0.00975101,0.0
2867823.0,-0.01965563,0.0
2867901.0,-0.000405,0.0
2867979.0,-0.00345263,0.0
